"","sample","lead","lead2","notes"
"1",1,0,0,NA
"2",2,104,NA,"sample removed: house had a filter"
"3",3,10,10,NA
"4",4,6,6,NA
"5",5,5,5,NA
"6",6,0,0,NA
"7",7,3,3,NA
"8",8,0,0,NA
"9",9,13,13,NA
"10",10,4,4,NA
"11",11,8,8,NA
"12",12,6,6,NA
"13",13,2,2,NA
"14",14,1,1,NA
"15",15,1,1,NA
"16",16,0,0,NA
"17",17,2,2,NA
"18",18,7,7,NA
"19",19,3,3,NA
"20",20,5,5,NA
"21",21,0,0,NA
"22",22,5,5,NA
"23",23,5,5,NA
"24",24,42,42,NA
"25",25,22,22,NA
"26",26,8,8,NA
"27",27,20,NA,"sample removed: business not residence"
"28",28,6,6,NA
"29",29,2,2,NA
"30",30,5,5,NA
"31",31,3,3,NA
"32",32,2,2,NA
"33",33,3,3,NA
"34",34,4,4,NA
"35",35,21,21,NA
"36",36,7,7,NA
"37",37,3,3,NA
"38",38,42,42,NA
"39",39,0,0,NA
"40",40,7,7,NA
"41",41,29,29,NA
"42",42,18,18,NA
"43",43,1,1,NA
"44",44,2,2,NA
"45",45,3,3,NA
"46",46,1,1,NA
"47",47,5,5,NA
"48",48,0,0,NA
"49",49,3,3,NA
"50",50,10,10,NA
"51",51,2,2,NA
"52",52,5,5,NA
"53",53,2,2,NA
"54",54,3,3,NA
"55",55,0,0,NA
"56",56,3,3,NA
"57",57,9,9,NA
"58",58,11,11,NA
"59",59,0,0,NA
"60",60,0,0,NA
"61",61,3,3,NA
"62",62,6,6,NA
"63",63,2,2,NA
"64",64,0,0,NA
"65",65,2,2,NA
"66",66,0,0,NA
"67",67,2,2,NA
"68",68,0,0,NA
"69",69,3,3,NA
"70",70,5,5,NA
"71",71,2,2,NA
